ProductID,ProductName,Stock,Warehouse
115,128 GB SSD,36,Warehouse5
118,Dell Laptop,57,Warehouse5
108,"Monitor 17""",,Warehouse5
108,"Monitor 17""",29,Warehouse5
113,16 GB RAM 2400,30,Warehouse5
103,Keyboard,23,Warehouse5
104,"Monitor 15""",25,Warehouse5
119,Keyboard Color,27,Warehouse5
120,Mouse Flexi,19,Warehouse5
114,16 GB RAM 4800,63,Warehouse5
101,Acer Laptop,19,Warehouse5
116,4 GB RAM 4800,21,Warehouse5
112,500 GB HDD,31,Warehouse5
116,4 GB RAM 4800,44,Warehouse5
106,"Monitor 19""",INVALID,Warehouse5
108,"Monitor 17""",10,Warehouse5
120,Mouse Flexi,25,Warehouse5
109,250 GB SSD,75,Warehouse5
101,"Acer Laptop""""""",54,Warehouse5
103,Keyboard,57,Warehouse5
118,Dell Laptop,11,Warehouse5
107,"Monitor 21""",23,Warehouse5
106,"Monitor 19""",NULL,Warehouse5
117,HP Laptop,67,Warehouse5
113,16 GB RAM 2400,23,Warehouse5
108,"Monitor 17""",41,Warehouse5
117,"HP Laptop""""",INVALID,Warehouse5
116,4 GB RAM 4800,12,Warehouse5
110,8 GB RAM 2400,90,Warehouse5
109,250 GB SSD,16,Warehouse5
104,"Monitor 15""",,Warehouse5
113,16 GB RAM 2400,36,Warehouse5
103,Keyboard,65,Warehouse5
108,"Monitor 17""",58,Warehouse5
119,Keyboard Color,65,Warehouse5
120,Mouse Flexi,47,Warehouse5
101,Acer Laptop,78,Warehouse5
117,HP Laptop,64,Warehouse5
101,Acer Laptop,INVALID,Warehouse5
101,Acer Laptop,NULL,Warehouse5
108,"Monitor 17""",,Warehouse5
111,8 GB RAM 4800,30,Warehouse5
117,HP Laptop,,Warehouse5
100,4 GB RAM 2400,84,Warehouse5
107,"Monitor 21""",,Warehouse5
105,"Monitor 17""",36,Warehouse5
107,"Monitor 21""",33,Warehouse5
108,"Monitor 17""",33,Warehouse5
119,Keyboard Color,15,Warehouse5
107,"Monitor 21""",79,Warehouse5
